KRAS	103508.7719/1Mbp
ZNF521	2794.7154/1Mbp
TWF1	2793.2961/1Mbp
SUN3	2793.2961/1Mbp
G6PC	2793.2961/1Mbp
RBM43	2793.2961/1Mbp
ATP1B4	2793.2961/1Mbp
BCL11A	2791.0686/1Mbp
SLC25A24	2789.4003/1Mbp
MYBPH	2789.4003/1Mbp
ANO4	2789.4003/1Mbp
NUDT7	2789.4003/1Mbp
CAP2	2789.4003/1Mbp
TMCC3	2789.4003/1Mbp
TRIM17	2789.4003/1Mbp
ERC2	2789.4003/1Mbp
FBXO10	2786.4855/1Mbp
MDGA2	2786.4855/1Mbp
SLC9A3R1	2785.5153/1Mbp
SLC10A7	2785.5153/1Mbp
GJA5	2785.5153/1Mbp
LILRB4	2783.5769/1Mbp
MAPK10	2783.5769/1Mbp
ADCY4	2782.9314/1Mbp
NR4A2	2782.4151/1Mbp
ANK2	2779.1814/1Mbp
YPEL2	2777.7778/1Mbp
C9orf43	2777.7778/1Mbp
TSPAN9	2777.7778/1Mbp
PSMB6	2777.7778/1Mbp
GNAQ	2777.7778/1Mbp
UTP3	2777.7778/1Mbp
TLR4	2777.7778/1Mbp
PDCL3	2777.7778/1Mbp
DCN	2777.7778/1Mbp
RHCG	2777.7778/1Mbp
THAP3	2777.7778/1Mbp
EGLN3	2777.7778/1Mbp
NDUFC2	2777.7778/1Mbp
ANKRD49	2777.7778/1Mbp
CD72	2777.7778/1Mbp
PEX12	2777.7778/1Mbp
OAS2	2777.7778/1Mbp
RBM19	2774.8873/1Mbp
SNX25	2774.4748/1Mbp
ACSL3	2773.9251/1Mbp
KRT84	2773.1559/1Mbp
NEK4	2771.1797/1Mbp
MAPK14	2770.0831/1Mbp
GALNTL6	2768.5493/1Mbp
HMGXB4	2768.5493/1Mbp
LACE1	2766.2517/1Mbp
THEM4	2766.2517/1Mbp
TP53INP1	2766.2517/1Mbp
MS4A7	2766.2517/1Mbp
SNRPN	2766.2517/1Mbp
SOX14	2766.2517/1Mbp
DLX4	2766.2517/1Mbp
CEP78	2766.2517/1Mbp
SLC6A13	2763.958/1Mbp
ADAMTS3	2763.958/1Mbp
A1CF	2763.958/1Mbp
ETV3L	2762.4309/1Mbp
CXorf66	2762.4309/1Mbp
GPR52	2762.4309/1Mbp
MUC15	2762.4309/1Mbp
LSAMP	2762.4309/1Mbp
FUT3	2762.4309/1Mbp
MKRN1	2760.5245/1Mbp
SYNC	2760.5245/1Mbp
DUSP10	2760.5245/1Mbp
ICA1L	2760.5245/1Mbp
GALNT10	2759.3819/1Mbp
GPC3	2759.3819/1Mbp
FAT2	2758.6207/1Mbp
GAB1	2758.6207/1Mbp
ACSBG1	2758.6207/1Mbp
MAP3K13	2757.6698/1Mbp
GSG1	2754.8209/1Mbp
GIMAP6	2754.8209/1Mbp
CREBL2	2754.8209/1Mbp
MTNR1B	2754.8209/1Mbp
CDCA4	2754.8209/1Mbp
ICA1	2754.8209/1Mbp
DDX6	2754.8209/1Mbp
RCAN3	2754.8209/1Mbp
WFDC8	2754.8209/1Mbp
CCDC59	2754.8209/1Mbp
C6orf25	2754.8209/1Mbp
ANKIB1	2752.2936/1Mbp
SLC9A7	2751.0316/1Mbp
KIF3A	2751.0316/1Mbp
DNAI2	2750.275/1Mbp
SUFU	2749.1409/1Mbp
SLCO5A1	2748.3314/1Mbp
SPATA22	2747.2527/1Mbp
RFC4	2747.2527/1Mbp
ELAC1	2747.2527/1Mbp
ABCD4	2745.7441/1Mbp
CR2	2744.7392/1Mbp
AGT	2743.4842/1Mbp
GLIPR1L1	2743.4842/1Mbp
ZNF577	2743.4842/1Mbp
PCGF3	2743.4842/1Mbp
TEKT5	2743.4842/1Mbp
C1orf168	2743.4842/1Mbp
HELT	2743.4842/1Mbp
OLFM1	2743.4842/1Mbp
RASL11A	2743.4842/1Mbp
TIAM2	2741.8723/1Mbp
YBX2	2739.726/1Mbp
GDF3	2739.726/1Mbp
TRDN	2739.726/1Mbp
HAO2	2739.726/1Mbp
CELF4	2737.8508/1Mbp
GALNT11	2736.7269/1Mbp
PITPNM3	2735.0427/1Mbp
HHLA3	2732.2404/1Mbp
TMEM109	2732.2404/1Mbp
FGF12	2732.2404/1Mbp
RWDD1	2732.2404/1Mbp
TMEM174	2732.2404/1Mbp
RGS7	2732.2404/1Mbp
RASGRP2	2732.2404/1Mbp
N4BP2L1	2732.2404/1Mbp
DYNLRB1	2732.2404/1Mbp
DDX17	2732.2404/1Mbp
DLG2	2732.2404/1Mbp
CXADR	2732.2404/1Mbp
DCD	2732.2404/1Mbp
CD8B	2732.2404/1Mbp
COL1A1	2730.3754/1Mbp
ERBB3	2730.206/1Mbp
SLITRK3	2726.653/1Mbp
SCN10A	2725.2598/1Mbp
ACTL8	2724.7956/1Mbp
AHCYL2	2723.3115/1Mbp
HNRNPUL1	2722.676/1Mbp
DIAPH2	2722.323/1Mbp
PRKAG3	2721.0884/1Mbp
CEACAM4	2721.0884/1Mbp
LILRA1	2721.0884/1Mbp
METTL7A	2721.0884/1Mbp
ULBP1	2721.0884/1Mbp
INO80E	2721.0884/1Mbp
FOXG1	2721.0884/1Mbp
KBTBD3	2718.869/1Mbp
ADAM2	2717.3913/1Mbp
APOBEC4	2717.3913/1Mbp
CYP2C19	2715.5465/1Mbp
SUSD4	2715.5465/1Mbp
TC2N	2715.5465/1Mbp
CYP2C9	2715.5465/1Mbp
RGS6	2715.5465/1Mbp
FOXN3	2715.5465/1Mbp
DHX38	2714.4408/1Mbp
BACH1	2713.7042/1Mbp
LRP12	2713.1783/1Mbp
OBFC1	2710.0271/1Mbp
ANKRD55	2710.0271/1Mbp
PRR5L	2710.0271/1Mbp
C6orf203	2710.0271/1Mbp
USP31	2710.0271/1Mbp
RPL22L1	2710.0271/1Mbp
C10orf25	2710.0271/1Mbp
YWHAQ	2710.0271/1Mbp
C14orf178	2710.0271/1Mbp
UNC13C	2708.8036/1Mbp
CFH	2705.6277/1Mbp
GABRA3	2704.5301/1Mbp
ADAM18	2702.7027/1Mbp
CSTF2T	2701.2426/1Mbp
ENTPD4	2701.2426/1Mbp
SMC1A	2701.2426/1Mbp
ADAM15	2700.6173/1Mbp
MAP1B	2700.1485/1Mbp
RPE	2699.0553/1Mbp
ULBP2	2699.0553/1Mbp
YWHAB	2699.0553/1Mbp
CHRNE	2699.0553/1Mbp
CABYR	2699.0553/1Mbp
PDC	2699.0553/1Mbp
FNBP1	2696.8716/1Mbp
GPR50	2696.8716/1Mbp
TM6SF1	2695.4178/1Mbp
CD244	2695.4178/1Mbp
PSAT1	2695.4178/1Mbp
KRTAP10-7	2695.4178/1Mbp
PDGFD	2695.4178/1Mbp
MSH6	2694.0975/1Mbp
HHAT	2693.6027/1Mbp
RANBP3L	2693.6027/1Mbp
IL17RA	2691.2726/1Mbp
PAIP2B	2688.172/1Mbp
WFDC5	2688.172/1Mbp
SYT14	2688.172/1Mbp
STC1	2688.172/1Mbp
SCARA5	2688.172/1Mbp
RPL35	2688.172/1Mbp
NXF1	2688.172/1Mbp
NDRG2	2688.172/1Mbp
TMEM33	2688.172/1Mbp
CLEC7A	2688.172/1Mbp
CRNN	2688.172/1Mbp
TPD52	2688.172/1Mbp
RNF182	2688.172/1Mbp
ATCAY	2688.172/1Mbp
EVC	2685.4649/1Mbp
KIAA1958	2684.5638/1Mbp
TDRD3	2684.5638/1Mbp
ZP2	2680.9651/1Mbp
ZNF625	2680.9651/1Mbp
LIAS	2680.9651/1Mbp
ZNF700	2680.9651/1Mbp
H2AFY2	2680.9651/1Mbp
HNRNPA1	2680.9651/1Mbp
TOX4	2679.5284/1Mbp
FXR1	2679.5284/1Mbp
KLHL6	2679.5284/1Mbp
MDM2	2677.3762/1Mbp
SECTM1	2677.3762/1Mbp
CMTM2	2677.3762/1Mbp
IAH1	2677.3762/1Mbp
ARHGEF26	2675.841/1Mbp
GLUL	2673.7968/1Mbp
MBNL2	2673.7968/1Mbp
CMKLR1	2673.7968/1Mbp
PGLYRP4	2673.7968/1Mbp
ZNF615	2673.7968/1Mbp
P2RY1	2673.7968/1Mbp
MYOT	2672.0107/1Mbp
AMZ1	2672.0107/1Mbp
FKBP9	2670.9402/1Mbp
KLHL1	2670.227/1Mbp
CHAT	2670.227/1Mbp
NDST3	2669.7178/1Mbp
HYDIN	2668.2286/1Mbp
KCNK5	2666.6667/1Mbp
MAGEA5	2666.6667/1Mbp
ATP6V1G3	2666.6667/1Mbp
SPACA4	2666.6667/1Mbp
TNFSF12	2666.6667/1Mbp
RXFP4	2666.6667/1Mbp
TEK	2666.6667/1Mbp
TP53AIP1	2666.6667/1Mbp
ING4	2666.6667/1Mbp
RPP14	2666.6667/1Mbp
ST6GALNAC6	2666.6667/1Mbp
CPO	2666.6667/1Mbp
DSG3	2666.6667/1Mbp
ZNF253	2666.6667/1Mbp
SAT2	2666.6667/1Mbp
MITD1	2666.6667/1Mbp
PKD2L2	2666.6667/1Mbp
CRISP1	2666.6667/1Mbp
PRSS12	2663.6225/1Mbp
MME	2663.1158/1Mbp
STAT1	2663.1158/1Mbp
PLAG1	2661.344/1Mbp
PTGIS	2661.344/1Mbp
SLC24A5	2661.344/1Mbp
PLXDC1	2661.344/1Mbp
CRISPLD1	2661.344/1Mbp
CAPRIN2	2659.5745/1Mbp
ADH1C	2659.5745/1Mbp
KCNJ15	2659.5745/1Mbp
SFTPD	2659.5745/1Mbp
MAG	2658.1606/1Mbp
MUC21	2658.1606/1Mbp
TKTL2	2658.1606/1Mbp
GOSR1	2656.0425/1Mbp
TULP3	2656.0425/1Mbp
CYP2R1	2656.0425/1Mbp
SYTL5	2656.0425/1Mbp
TNFSF13	2656.0425/1Mbp
MMAB	2656.0425/1Mbp
MRPL47	2656.0425/1Mbp
LCP1	2653.9278/1Mbp
SLC13A4	2653.9278/1Mbp
CCDC22	2653.9278/1Mbp
XBP1	2652.5199/1Mbp
ACTG2	2652.5199/1Mbp
CCR3	2652.5199/1Mbp
ACTR1B	2652.5199/1Mbp
NME7	2652.5199/1Mbp
TCEB3B	2652.5199/1Mbp
ACTRT1	2652.5199/1Mbp
AGPAT3	2652.5199/1Mbp
CHRNB2	2650.7621/1Mbp
TFCP2	2650.7621/1Mbp
WASF3	2650.7621/1Mbp
KRT3	2649.7085/1Mbp
NTN4	2649.7085/1Mbp
ABCB5	2649.7085/1Mbp
LONRF2	2649.0066/1Mbp
PPIG	2649.0066/1Mbp
BTBD7	2647.8376/1Mbp
STAG1	2647.6039/1Mbp
MRPS6	2645.5026/1Mbp
C14orf177	2645.5026/1Mbp
LYPD2	2645.5026/1Mbp
MUC7	2645.5026/1Mbp
ZNF211	2645.5026/1Mbp
IFITM1	2645.5026/1Mbp
C22orf42	2645.5026/1Mbp
WIPF1	2645.5026/1Mbp
LY6G6C	2645.5026/1Mbp
HDHD3	2645.5026/1Mbp
SENP5	2645.5026/1Mbp
ACTA2	2645.5026/1Mbp
IGFL3	2645.5026/1Mbp
POLR2I	2645.5026/1Mbp
BEX1	2645.5026/1Mbp
TRMT112	2645.5026/1Mbp
CD2	2645.5026/1Mbp
ACTA1	2645.5026/1Mbp
PAQR9	2645.5026/1Mbp
PDCD5	2645.5026/1Mbp
RPUSD4	2645.5026/1Mbp
DHX57	2643.5953/1Mbp
EIF2AK1	2641.3101/1Mbp
KCND2	2641.3101/1Mbp
SHC4	2641.3101/1Mbp
SHMT2	2640.264/1Mbp
CYP7A1	2640.264/1Mbp
SLC36A4	2640.264/1Mbp
PRPF19	2640.264/1Mbp
ECE2	2639.5173/1Mbp
FNDC1	2638.5224/1Mbp
HNRNPA3	2638.5224/1Mbp
FOXI1	2638.5224/1Mbp
OGDHL	2637.6525/1Mbp
SPAG16	2637.1308/1Mbp
SLC4A5	2636.2039/1Mbp
ST5	2636.2039/1Mbp
FTO	2635.0461/1Mbp
EMX2	2635.0461/1Mbp
SLC16A5	2635.0461/1Mbp
NXPH3	2635.0461/1Mbp
THEG	2631.5789/1Mbp
KCNJ10	2631.5789/1Mbp
GIT2	2631.5789/1Mbp
NEK3	2629.8488/1Mbp
CDYL2	2629.8488/1Mbp
MADD	2629.4498/1Mbp
GSTCD	2628.8118/1Mbp
CLCN4	2628.1209/1Mbp
CDH13	2628.1209/1Mbp
SEC63	2628.1209/1Mbp
OSBPL3	2627.6276/1Mbp
TTLL7	2627.6276/1Mbp
USH2A	2626.6897/1Mbp
C12orf57	2624.6719/1Mbp
TLL2	2624.6719/1Mbp
ST8SIA3	2624.6719/1Mbp
TATDN2	2624.6719/1Mbp
HIST1H2BM	2624.6719/1Mbp
TMEM51	2624.6719/1Mbp
FEN1	2624.6719/1Mbp
HIST1H2BO	2624.6719/1Mbp
HIST1H2BE	2624.6719/1Mbp
ZNF720	2624.6719/1Mbp
TSPAN11	2624.6719/1Mbp
HIST1H2BL	2624.6719/1Mbp
WNT5A	2624.6719/1Mbp
APLNR	2624.6719/1Mbp
DNAJC8	2624.6719/1Mbp
HIST1H2BC	2624.6719/1Mbp
VASP	2624.6719/1Mbp
HINT1	2624.6719/1Mbp
HIST1H2BF	2624.6719/1Mbp
PHTF1	2621.232/1Mbp
ALDH3A2	2619.5154/1Mbp
ABRA	2617.801/1Mbp
PKHD1	2617.5869/1Mbp
GLB1L2	2616.4312/1Mbp
ANKRD7	2614.3791/1Mbp
FAM192A	2614.3791/1Mbp
SLC16A9	2614.3791/1Mbp
ODF3	2614.3791/1Mbp
CDC42EP3	2614.3791/1Mbp
LGSN	2614.3791/1Mbp
REEP2	2614.3791/1Mbp
CCDC90B	2614.3791/1Mbp
SLIT2	2614.3791/1Mbp
PDYN	2614.3791/1Mbp
TSHR	2614.3791/1Mbp
SPATA9	2614.3791/1Mbp
LMX1A	2610.9661/1Mbp
OLFM4	2609.2629/1Mbp
WDR66	2608.6957/1Mbp
DYNC1I2	2608.242/1Mbp
ZMAT1	2608.242/1Mbp
DSC1	2607.0764/1Mbp
CWF19L2	2607.0764/1Mbp
CSMD3	2606.9759/1Mbp
MYF5	2604.1667/1Mbp
SUSD3	2604.1667/1Mbp
KRTAP4-1	2604.1667/1Mbp
PHPT1	2604.1667/1Mbp
CTSG	2604.1667/1Mbp
DLK1	2604.1667/1Mbp
SUB1	2604.1667/1Mbp
MUC13	2604.1667/1Mbp
NUTF2	2604.1667/1Mbp
BATF3	2604.1667/1Mbp
ZNF182	2604.1667/1Mbp
PSMA3	2604.1667/1Mbp
DEPDC7	2604.1667/1Mbp
ZNF419	2604.1667/1Mbp
TNFRSF9	2604.1667/1Mbp
FGF13	2604.1667/1Mbp
BAIAP2L1	2604.1667/1Mbp
FABP1	2604.1667/1Mbp
ZNF208	2602.1337/1Mbp
CAPN5	2600.104/1Mbp
ALDH1A3	2599.0903/1Mbp
ACVR2B	2599.0903/1Mbp
GABRB2	2599.0903/1Mbp
LYN	2599.0903/1Mbp
DPYD	2599.0903/1Mbp
CSF2RB	2598.3667/1Mbp
TCF7	2597.4026/1Mbp
UPB1	2597.4026/1Mbp
KCNK18	2597.4026/1Mbp
ADAM11	2597.4026/1Mbp
KIF25	2597.4026/1Mbp
GRPR	2597.4026/1Mbp
TNPO1	2595.4765/1Mbp
COL4A1	2594.8104/1Mbp
KCNIP3	2594.0337/1Mbp
BTN3A1	2594.0337/1Mbp
ATP6V1B1	2594.0337/1Mbp
SPTLC1	2594.0337/1Mbp
ENKUR	2594.0337/1Mbp
KRT82	2594.0337/1Mbp
KCNG1	2594.0337/1Mbp
PSMA8	2594.0337/1Mbp
LCT	2593.361/1Mbp
SMARCAD1	2591.5128/1Mbp
CNTN3	2591.5128/1Mbp
CAMK1D	2590.6736/1Mbp
TULP4	2590.6736/1Mbp
SEMA3A	2590.6736/1Mbp
APCDD1	2588.9968/1Mbp
MAGEC3	2587.9917/1Mbp
B9D1	2583.9793/1Mbp
NDUFB6	2583.9793/1Mbp
H2AFZ	2583.9793/1Mbp
GDAP1L1	2583.9793/1Mbp
FCRL4	2583.9793/1Mbp
STH	2583.9793/1Mbp
APH1B	2583.9793/1Mbp
YIPF5	2583.9793/1Mbp
MRPL51	2583.9793/1Mbp
RIMKLB	2583.9793/1Mbp
NOL7	2583.9793/1Mbp
GOSR2	2583.9793/1Mbp
MRPS14	2583.9793/1Mbp
KLRC3	2583.9793/1Mbp
HIST1H2AJ	2583.9793/1Mbp
ODF4	2583.9793/1Mbp
GYPC	2583.9793/1Mbp
FCER1A	2583.9793/1Mbp
THAP9	2581.1209/1Mbp
ARHGEF9	2578.9813/1Mbp
SAGE1	2578.2689/1Mbp
C3orf20	2578.2689/1Mbp
CHRND	2574.0026/1Mbp
TMEM99	2574.0026/1Mbp
GTF2F1	2574.0026/1Mbp
WT1	2574.0026/1Mbp
HINFP	2574.0026/1Mbp
IGFBP4	2574.0026/1Mbp
FAM47C	2574.0026/1Mbp
EIF3J	2574.0026/1Mbp
TRIM40	2574.0026/1Mbp
SPIN3	2574.0026/1Mbp
ATP4A	2574.0026/1Mbp
LAD1	2574.0026/1Mbp
ZNF567	2572.0165/1Mbp
PGA5	2570.6941/1Mbp
PGC	2570.6941/1Mbp
DGAT2	2570.6941/1Mbp
SOX7	2570.6941/1Mbp
RGS20	2570.6941/1Mbp
IFT80	2570.6941/1Mbp
MIIP	2570.6941/1Mbp
EIF4G2	2569.7504/1Mbp
ATP10D	2569.4931/1Mbp
MDH1B	2569.043/1Mbp
TBX5	2569.043/1Mbp
RIPK3	2569.043/1Mbp
GRM8	2566.9234/1Mbp
PTPRN2	2566.5704/1Mbp
PEX11B	2564.1026/1Mbp
KRTAP5-6	2564.1026/1Mbp
PFDN6	2564.1026/1Mbp
TMEM133	2564.1026/1Mbp
ACYP1	2564.1026/1Mbp
EVI2A	2564.1026/1Mbp
PROK2	2564.1026/1Mbp
FAM109B	2564.1026/1Mbp
PDIA5	2564.1026/1Mbp
PFN4	2564.1026/1Mbp
NDUFB4	2564.1026/1Mbp
SNX2	2564.1026/1Mbp
SYPL1	2564.1026/1Mbp
IGFBP1	2564.1026/1Mbp
FSHB	2564.1026/1Mbp
TMEM211	2564.1026/1Mbp
ZNF670	2564.1026/1Mbp
WNT10B	2564.1026/1Mbp
TCP11L2	2564.1026/1Mbp
ISCA1	2564.1026/1Mbp
C19orf73	2564.1026/1Mbp
TFF2	2564.1026/1Mbp
FAM46D	2564.1026/1Mbp
PCGF1	2564.1026/1Mbp
CDC20B	2564.1026/1Mbp
YTHDC2	2562.3107/1Mbp
SND1	2561.288/1Mbp
AMPD1	2560.8195/1Mbp
CYP4F8	2560.8195/1Mbp
CRTC1	2560.1639/1Mbp
MBOAT2	2559.1811/1Mbp
ADRA1B	2559.1811/1Mbp
TBX22	2559.1811/1Mbp
KCNB2	2558.4795/1Mbp
SH3PXD2B	2558.4795/1Mbp
SERPINB4	2557.5448/1Mbp
LAMB3	2557.5448/1Mbp
GFOD1	2557.5448/1Mbp
ESAM	2557.5448/1Mbp
GRM4	2555.6773/1Mbp
CYB5R4	2554.2784/1Mbp
UPK1B	2554.2784/1Mbp
NLRP13	2554.2784/1Mbp
ERCC3	2554.2784/1Mbp
CCDC127	2554.2784/1Mbp
IRAK1BP1	2554.2784/1Mbp
RUNX2	2554.2784/1Mbp
BAMBI	2554.2784/1Mbp
FBN1	2553.389/1Mbp
USP26	2552.8811/1Mbp
PTPN3	2552.8811/1Mbp
ANO5	2552.8811/1Mbp
CCDC81	2552.3226/1Mbp
LILRB1	2552.3226/1Mbp
KCNJ1	2551.0204/1Mbp
TRDMT1	2551.0204/1Mbp
ALLC	2551.0204/1Mbp
GPHB5	2551.0204/1Mbp
TEX9	2551.0204/1Mbp
CNTNAP5	2550.3698/1Mbp
SLC12A9	2550.0911/1Mbp
RCC2	2549.3945/1Mbp
TRAF6	2549.3945/1Mbp
TPTE2	2549.3945/1Mbp
PRPF4	2549.3945/1Mbp
TRIM32	2548.42/1Mbp
SLC44A3	2548.42/1Mbp
TMCC1	2548.42/1Mbp
SPAG17	2547.9616/1Mbp
CDK17	2544.5293/1Mbp
PCNA	2544.5293/1Mbp
HIST1H2AL	2544.5293/1Mbp
RPA4	2544.5293/1Mbp
RCHY1	2544.5293/1Mbp
PSMA4	2544.5293/1Mbp
HIST1H2AB	2544.5293/1Mbp
CDH4	2544.5293/1Mbp
CLDN18	2544.5293/1Mbp
SYT10	2544.5293/1Mbp
CTDSP1	2544.5293/1Mbp
HLA-DMA	2544.5293/1Mbp
HIST1H2AM	2544.5293/1Mbp
HIST1H2AD	2544.5293/1Mbp
ZNF664	2544.5293/1Mbp
STX7	2544.5293/1Mbp
IFI27L2	2544.5293/1Mbp
ADCK1	2544.5293/1Mbp
FEZ1	2544.5293/1Mbp
LHX6	2544.5293/1Mbp
HIST2H2AB	2544.5293/1Mbp
HIST1H2AE	2544.5293/1Mbp
BTN2A2	2544.5293/1Mbp
SAA4	2544.5293/1Mbp
CALN1	2544.5293/1Mbp
VWA5A	2541.2961/1Mbp
ABCG2	2540.6504/1Mbp
JRKL	2539.6825/1Mbp
PGBD5	2539.6825/1Mbp
ZNF692	2539.6825/1Mbp
SLC1A1	2539.6825/1Mbp
SARDH	2538.9917/1Mbp
MAP2K1	2538.0711/1Mbp
ADAM32	2538.0711/1Mbp
HPD	2538.0711/1Mbp
IRF9	2538.0711/1Mbp
SH3BP5L	2538.0711/1Mbp
COL5A1	2537.611/1Mbp
EXTL3	2536.2319/1Mbp
CD109	2535.7308/1Mbp
KLK1	2534.8542/1Mbp
SLC32A1	2534.8542/1Mbp
ARSG	2534.8542/1Mbp
PPP3CB	2534.8542/1Mbp
ITGB6	2534.8542/1Mbp
NAB2	2534.8542/1Mbp
GZMA	2534.8542/1Mbp
SLC18A1	2534.8542/1Mbp
ALAS1	2532.9281/1Mbp
SLC44A1	2532.9281/1Mbp
RBM44	2532.447/1Mbp
SH3GLB1	2531.6456/1Mbp
TMEM79	2531.6456/1Mbp
PDE10A	2531.6456/1Mbp
HORMAD1	2531.6456/1Mbp
PRMT8	2531.6456/1Mbp
SMARCB1	2531.6456/1Mbp
MTTP	2530.7303/1Mbp
KLHL13	2529.0845/1Mbp
GRM7	2527.9884/1Mbp
USP29	2527.9884/1Mbp
DIS3L	2527.6461/1Mbp
THAP5	2525.2525/1Mbp
PCDHGB5	2525.2525/1Mbp
MIA	2525.2525/1Mbp
MED31	2525.2525/1Mbp
HIST1H2AA	2525.2525/1Mbp
ZCCHC17	2525.2525/1Mbp
MIP	2525.2525/1Mbp
RSPO1	2525.2525/1Mbp
ZNF721	2525.2525/1Mbp
DHODH	2525.2525/1Mbp
IQUB	2525.2525/1Mbp
PSMB5	2525.2525/1Mbp
PIGK	2525.2525/1Mbp
DRGX	2525.2525/1Mbp
GABPB1	2525.2525/1Mbp
TXK	2525.2525/1Mbp
ARMC8	2525.2525/1Mbp
RAET1E	2525.2525/1Mbp
CNOT1	2524.1902/1Mbp
EXOC2	2522.5225/1Mbp
MTMR7	2521.4322/1Mbp
ZNF540	2521.4322/1Mbp
PRDM2	2520.8455/1Mbp
GALNS	2520.4789/1Mbp
ACBD3	2520.4789/1Mbp
CNTROB	2519.7984/1Mbp
WDR17	2519.5263/1Mbp
SEPT2	2518.8917/1Mbp
VRK1	2518.8917/1Mbp
ARC	2518.8917/1Mbp
GPR84	2518.8917/1Mbp
SLC24A2	2517.6234/1Mbp
WDR26	2517.6234/1Mbp
AASS	2517.0802/1Mbp
UGT2B11	2515.7233/1Mbp
ATP5B	2515.7233/1Mbp
LENG1	2515.7233/1Mbp
DYSF	2515.7233/1Mbp
PLXDC2	2515.7233/1Mbp
NDUFS3	2515.7233/1Mbp
CHRNA2	2515.7233/1Mbp
UGT2B7	2515.7233/1Mbp
CCDC112	2515.7233/1Mbp
NXPH2	2515.7233/1Mbp
CTRL	2515.7233/1Mbp
ATP8B4	2514.6689/1Mbp
FASTKD3	2513.826/1Mbp
ZMYM6	2513.826/1Mbp
PCDHB4	2512.5628/1Mbp
RFX6	2511.6613/1Mbp
ZNF680	2510.9856/1Mbp
RBM39	2510.9856/1Mbp
UGT2B17	2510.9856/1Mbp
ZNF451	2510.9856/1Mbp
GRM1	2510.4603/1Mbp
PLCB4	2510.4603/1Mbp
SLC4A1AP	2509.4103/1Mbp
MARK1	2509.4103/1Mbp
TMEM170B	2506.2657/1Mbp
SULT6B1	2506.2657/1Mbp
CCDC9	2506.2657/1Mbp
SIRPB1	2506.2657/1Mbp
SH2D1B	2506.2657/1Mbp
IMPG1	2506.2657/1Mbp
ZNF800	2506.2657/1Mbp
PTPRK	2506.2657/1Mbp
CYP4F22	2506.2657/1Mbp
OTUD3	2506.2657/1Mbp
PMP2	2506.2657/1Mbp
FABP2	2506.2657/1Mbp
SDHA	2506.2657/1Mbp
ZNF492	2506.2657/1Mbp
FABP4	2506.2657/1Mbp
POLR3D	2506.2657/1Mbp
IL1R2	2506.2657/1Mbp
ABCA1	2505.1577/1Mbp
SETBP1	2504.6963/1Mbp
ZNF573	2502.5025/1Mbp
FAAH2	2501.5635/1Mbp
BMPR1A	2501.5635/1Mbp
RAB11FIP2	2501.5635/1Mbp
CLEC4M	2500.0/1Mbp
PPP1R3F	2500.0/1Mbp
ZNF311	2498.7506/1Mbp
PDE11A	2498.2156/1Mbp
ANKRD45	2496.8789/1Mbp
PCDHB10	2496.8789/1Mbp
MBLAC1	2496.8789/1Mbp
RBM46	2496.8789/1Mbp
NETO1	2496.8789/1Mbp
HLA-DRB1	2496.8789/1Mbp
NEDD1	2495.01/1Mbp
TUBGCP4	2495.01/1Mbp
CCDC88A	2494.2099/1Mbp
TRIM54	2493.7656/1Mbp
MAPKAPK2	2493.7656/1Mbp
ITGB1	2493.7656/1Mbp
DRD3	2493.7656/1Mbp
CDH20	2493.7656/1Mbp
SCN2A	2492.5224/1Mbp
MTA2	2491.2805/1Mbp
NPAS4	2490.66/1Mbp
FLT1	2489.42/1Mbp
CENPJ	2489.42/1Mbp
PREX2	2489.1101/1Mbp
ZFHX4	2488.2499/1Mbp
PDRG1	2487.5622/1Mbp
POMC	2487.5622/1Mbp
AADACL2	2487.5622/1Mbp
SCN1A	2487.5622/1Mbp
B4GALT2	2487.5622/1Mbp
RILP	2487.5622/1Mbp
ZMYM5	2487.5622/1Mbp
PCDHA7	2487.5622/1Mbp
MRPL9	2487.5622/1Mbp
RBM7	2487.5622/1Mbp
MS4A12	2487.5622/1Mbp
FAM19A1	2487.5622/1Mbp
NHLH1	2487.5622/1Mbp
DNAH2	2484.1915/1Mbp
ATF6	2483.8549/1Mbp
TLE4	2481.3896/1Mbp
ACE2	2481.3896/1Mbp
ZNF586	2481.3896/1Mbp
PLD1	2480.6202/1Mbp
ARID1A	2478.8568/1Mbp
CDCA3	2478.3147/1Mbp
FYN	2478.3147/1Mbp
FGF5	2478.3147/1Mbp
POLE	2477.7729/1Mbp
ZBTB33	2476.4735/1Mbp
FARP1	2476.0136/1Mbp
DCTN2	2475.2475/1Mbp
IDO1	2475.2475/1Mbp
FBXO22	2475.2475/1Mbp
USP33	2474.3726/1Mbp
KPNA1	2473.7168/1Mbp
USP28	2473.7168/1Mbp
SF1	2472.7992/1Mbp
RP1	2472.5699/1Mbp
ABCA6	2472.1879/1Mbp
TRPM6	2471.5769/1Mbp
TMEM132B	2471.4242/1Mbp
HIST2H2BF	2469.1358/1Mbp
RHBDL3	2469.1358/1Mbp
KBTBD6	2469.1358/1Mbp
PRR4	2469.1358/1Mbp
RBP2	2469.1358/1Mbp
CENPK	2469.1358/1Mbp
UBA5	2469.1358/1Mbp
KPNA5	2469.1358/1Mbp
FAM183A	2469.1358/1Mbp
RBP7	2469.1358/1Mbp
CYB5A	2469.1358/1Mbp
DGKD	2469.1358/1Mbp
ARHGEF37	2465.4832/1Mbp
